fecha,mes,balance,cambio_periodo
2025-02-17,2025-02,200000.0,0.0
2025-02-20,2025-02,208500.0,8500.0
2025-02-23,2025-02,214652.0,6152.0
2025-02-24,2025-02,216865.0,2213.0
2025-02-25,2025-02,222201.0,5336.0
2025-02-26,2025-02,225601.0,3400.0
2025-02-27,2025-02,234929.0,9328.0
2025-02-28,2025-02,237683.0,2754.0
2025-03-23,2025-03,241965.0,4282.0
2025-03-24,2025-03,242560.0,595.0
2025-03-25,2025-03,247541.0,4981.0
2025-03-28,2025-03,252082.0,4541.0
2025-03-31,2025-03,254867.0,2785.0
2025-04-01,2025-04,257980.0,3113.0
2025-04-03,2025-04,264000.0,6020.0
2025-04-04,2025-04,268601.0,4601.0
2025-04-05,2025-04,268871.0,270.0
2025-04-10,2025-04,158706.0,-110165.0
2025-04-21,2025-04,178593.0,19887.0
2025-04-24,2025-04,180787.0,2194.0
2025-04-25,2025-04,181447.0,660.0
2025-04-30,2025-04,181011.0,-436.0
2025-05-16,2025-05,197610.0,16599.0
2025-05-21,2025-05,211846.0,14236.0
2025-05-24,2025-05,228125.0,16279.0
2025-05-31,2025-05,223030.0,-5095.0
2025-06-10,2025-06,232920.0,9890.0
2025-06-20,2025-06,235905.0,2985.0
2025-07-02,2025-07,242338.0,6433.0
2025-07-11,2025-07,246679.0,4341.0
2025-07-26,2025-07,207380.0,-39299.0
2025-08-11,2025-08,228850.0,21470.0
2025-08-25,2025-08,235471.0,6621.0
2025-09-08,2025-09,253534.0,18063.0
2025-09-16,2025-09,250121.0,-3413.0
2025-09-22,2025-09,253441.0,3320.0
2025-09-30,2025-09,254423.3,982.3
2025-10-09,2025-10,264808.1,10384.8
2025-10-16,2025-10,268435.6,3627.5
2025-10-23,2025-10,270049.5,1613.9
2025-10-31,2025-10,274254.0,4204.5
2025-11-13,2025-11,272103.0,-2151.0
2025-11-28,2025-11,291954.0,19851.0
2025-12-18,2025-12,310302.0,18348.0
2025-12-31,2025-12,316117.89,5815.89
2026-01-02,2026-01,316117.89,0.0
2026-01-14,2026-01,319402.6,3284.71
2026-02-02,2026-02,325000.0,5597.4
2026-02-28,2026-02,341022.03,16022.03
2026-03-16,2026-03,353064.72,12042.69
2026-03-31,2026-03,361937.35,8872.63
2026-05-01,2026-05,356450.0,-5487.35
2026-05-15,2026-05,363519.68,7069.68
2026-05-30,2026-05,358117.98,-5401.7
2026-06-09,2026-06,358240.1,122.12
2026-06-10,2026-06,358876.0,635.9
2026-06-12,2026-06,359043.0,167.0
2026-06-13,2026-06,359442.9,399.9
2026-06-15,2026-06,360789.9,1347.0
2026-06-17,2026-06,356463.69,-4326.21
2026-06-18,2026-06,359475.0,3011.31
2026-06-19,2026-06,362299.5,2824.5
2026-06-20,2026-06,361518.5,-781.0
2026-06-22,2026-06,361811.77,293.27
2026-06-23,2026-06,361981.0,169.23
2026-06-24,2026-06,362088.9,107.9
2026-06-25,2026-06,362318.9,230.0
2026-06-26,2026-06,362548.9,230.0
2026-06-27,2026-06,363127.9,579.0
2026-06-29,2026-06,365368.9,2241.0
2026-06-30,2026-06,367059.0,1690.1
2026-07-01,2026-07,367809.5,750.5
