Fecha,Moneda,Monto Vendido,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
1/8/25,BOB USD,200,14.2,2840,Efectivo,Tiffani,
1/8/25,BOB USD,150,14.1,2115,Efectivo,Tiffani,
2/8/25,BOB USD,1000,14.2,14200,Efectivo,Tiffani,
4/8/25,BOB USD,200,14.2,2840,Efectivo,Tiffani,
4/8/25,BOB USD,200,14.2,2840,Efectivo,Tiffani,
13/8/25,BOB USD,100,14,1400,Efectivo,Tiffani,
13/8/25,BOB PEN ,25,4,100,Efectivo,Tiffani,
14/8/25,BOB USD,300,14,4200,Efectivo,Tiffani,
14/8/25,BOB USD,60,14,840,Efectivo,Tiffani,
15/8/25,BOB USD,100,14,1400,Efectivo,Tiffani,
15/8/25,BOB USD,30,14,420,Efectivo,Tiffani,
15/8/25,BOB USD,500,13.9,6950,Efectivo,Tiffani,
15/8/25,BOB USD,2000,13.6,27200,Efectivo,Tiffani,
16/8/25,BOB USD,50,13.8,690,Efectivo,Tiffani,
16/8/25,BOB USD,300,13.8,4140,Efectivo,Tiffani,
18/8/25,BOB USD,100,13.9,1390,QR,Tiffani,
22/8/25,BOB USD,400,13.6,5440,Efectivo,Tiffani,
25/8/25,BOB USD,1000,13.5,13500,Efectivo,Tiffani,
25/8/25,BOB USD,225,13.4,3015,Efectivo,Tiffani,
27/8/25,BOB USD,600,13.3,7980,Efectivo,Tiffani,
29/8/25,BOB USD,200,12.75,2550,Efectivo,Tiffani,
29/8/25,BOB USD,250,12.8,3200,Efectivo,Tiffani,
1/8/25,BOB EUR,1500,15.7,23550,Efectivo,Sergio,
2/8/25,BOB USD,1900,14.3,27170,Efectivo,Sergio,
2/8/25,BOB USD,1000,14.2,14200,Efectivo,Sergio,
4/8/25,BOB USD,200,14.2,2840,Efectivo,Sergio,
5/8/25,BOB USD,500,14,7000,Efectivo,Sergio,
5/8/25,BOB USD,200,14,2800,Efectivo,Sergio,
5/8/25,BOB USD,300,14,4200,Efectivo,Sergio,
5/8/25,BOB USD,700,14.2,9940,Efectivo,Sergio,
6/8/25,BOB USD,200,14,2800,Efectivo,Sergio,
8/8/25,BOB USD,4000,13.9,55600,Efectivo,Sergio,
11/8/25,BOB USD,1000,13.7,13700,Efectivo,Sergio,
11/8/25,BOB BRL,700,2.6,1820,Efectivo,Sergio,
11/8/25,BOB USD,100,14,1400,Efectivo,Sergio,
11/8/25,BOB USD,37,13.6,503.2,Efectivo,Sergio,
13/8/25,BOB USD,100,14,1400,Efectivo,Sergio,
13/8/25,BOB USD,100,14.1,1410,Efectivo,Sergio,
15/8/25,BOB USD,200,13.7,2740,Efectivo,Sergio,
15/8/25,BOB USD,30,13.7,411,Efectivo,Sergio,
15/8/25,BOB USD,100,13.7,1370,Efectivo,Sergio,
16/8/25,BOB USD,6500,13.7,89050,Efectivo,Sergio,
16/8/25,BOB USD,200,13.8,2760,Efectivo,Sergio,
18/8/25,BOB USD,600,13.85,8310,Efectivo,Sergio,
22/8/25,BOB USD,1000,13.6,13600,Efectivo,Sergio,
22/8/25,BOB USD,100,13.6,1360,Efectivo,Sergio,
25/8/25,BOB USD,1000,13.5,13500,Efectivo,Sergio,
25/8/25,BOB USD,100,13.5,1350,Efectivo,Sergio,
25/8/25,BOB USD,100,13.5,1350,Efectivo,Sergio,
26/8/25,BOB USD,1000,13.5,13500,Efectivo,Sergio,
28/8/25,BOB USD,500,13.1,6550,Efectivo,Sergio,
29/8/25,BOB USD,1000,12.8,12800,Efectivo,Sergio,
30/8/25,BOB USD,4000,12.8,51200,Efectivo,Sergio,
29/8/25,BOB USD,100,12.8,1280,Efectivo,Tiffani,
,,37057,13.8,500714.2,,,
