ID,Fecha,Moneda,Monto Vendido,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
1,1/9/25,USD,300.00,12.80,"3,840.00",Efectivo,Tiffani,
2,2/9/25,USD,"1,000.00",12.00,"12,000.00",Efectivo,Tiffani,
3,3/9/25,USD,950.00,11.50,"10,925.00",Efectivo,Tiffani,
4,4/9/25,USD,50.00,11.50,575.00,Efectivo,Tiffani,
5,4/9/25,USD,300.00,13.00,"3,900.00",Efectivo,Tiffani,
6,5/9/25,USD,23.00,12.50,287.50,Efectivo,Tiffani,
7,6/9/25,USD,"1,700.00",13.00,"22,100.00",Efectivo,Tiffani,
8,10/9/25,USD,200.00,13.00,"2,600.00",Efectivo,Tiffani,
9,11/9/25,USD,100.00,13.00,"1,300.00",Efectivo,Tiffani,
10,11/9/25,ARS,13.00,8.00,104.00,Efectivo,Tiffani,
11,11/9/25,USD,200.00,13.20,"2,640.00",Efectivo,Tiffani,
12,16/9/25,USD,200.00,13.10,"2,620.00",Efectivo,Tiffani,
13,16/9/25,USD,500.00,13.20,"6,600.00",Efectivo,Tiffani,
14,16/9/25,USD,100.00,13.20,"1,320.00",Efectivo,Tiffani,
15,17/9/25,USD,50.00,13.20,660.00,Efectivo,Tiffani,
16,18/9/25,USD,600.00,12.90,"7,740.00",Efectivo,Tiffani,
17,19/9/25,USD,"1,000.00",12.80,"12,800.00",Efectivo,Tiffani,
18,19/9/25,USD,"1,000.00",12.80,"12,800.00",Efectivo,Tiffani,
19,19/9/25,USD,"1,000.00",12.80,"12,800.00",Efectivo,Tiffani,
20,19/9/25,USD,"1,000.00",12.80,"12,800.00",Efectivo,Tiffani,
21,19/9/25,USD,"1,000.00",12.80,"12,800.00",Efectivo,Tiffani,
22,19/9/25,USD,"1,000.00",12.80,"12,800.00",Efectivo,Tiffani,
23,19/9/25,USD,100.00,12.80,"1,280.00",Efectivo,Tiffani,
24,20/9/25,USD,500.00,12.70,"6,350.00",Efectivo,Tiffani,
25,23/9/25,USD,100.00,12.90,"1,290.00",Efectivo,Tiffani,
26,25/9/25,USD,120.00,12.90,"1,548.00",Efectivo,Tiffani,
27,25/9/25,USD,200.00,12.90,"2,580.00",QR,Tiffani,
28,27/9/25,USD,200.00,12.90,"2,580.00",Efectivo,Tiffani,
29,30/9/25,USD,100.00,12.80,"1,280.00",Efectivo,Tiffani,
30,2/9/25,USD,100.00,12.30,"1,230.00",Efectivo,Sergio,
31,4/9/25,PEN ,"1,000.00",3.50,"3,500.00",Efectivo,Sergio,
32,4/9/25,USD,"15,000.00",13.20,"198,000.00",Efectivo,Sergio,
33,4/9/25,USD,300.00,13.50,"4,050.00",Efectivo,Sergio,
34,5/9/25,USD,400.00,13.00,"5,200.00",Efectivo,Sergio,
35,5/9/25,EUR,"2,000.00",14.35,"28,700.00",Efectivo,Sergio,
36,9/9/25,USD,100.00,13.00,"1,300.00",Efectivo,Sergio,
37,11/9/25,USD,200.00,13.20,"2,640.00",Efectivo,Sergio,
38,11/9/25,USD,200.00,13.20,"2,640.00",QR,Sergio,
39,11/9/25,USD,460.00,13.20,"6,072.00",Efectivo,Sergio,
40,11/9/25,USD,"1,000.00",13.25,"13,250.00",Efectivo,Sergio,
41,12/9/25,USD,100.00,13.20,"1,320.00",Efectivo,Sergio,
42,16/9/25,USD,500.00,13.20,"6,600.00",Efectivo,Sergio,
43,16/9/25,USD,"2,000.00",13.18,"26,360.00",Efectivo,Sergio,
44,18/9/25,USD,20.00,13.00,260.00,Efectivo,Sergio,
45,18/9/25,USD,"1,700.00",12.85,"21,845.00",Efectivo,Sergio,
46,19/9/25,USD,50.00,12.80,640.00,Efectivo,Sergio,
47,20/9/25,USD,300.00,12.80,"3,840.00",Efectivo,Sergio,
48,20/9/25,BRL,"1,900.00",2.40,"4,560.00",Efectivo,Sergio,
49,20/9/25,USD,"3,000.00",12.85,"38,550.00",Efectivo,Sergio,
50,20/9/25,CLP ,"3,000.00",12.95,"38,850.00",Efectivo,Sergio,
51,22/9/25,USD,100.00,12.90,"1,290.00",Efectivo,Sergio,
52,23/9/25,USD,300.00,12.90,"3,870.00",Efectivo,Sergio,
53,23/9/25,USD,20.00,12.80,256.00,Efectivo,Sergio,
54,25/9/25,CLP ,"2,400.00",13.00,"31,200.00",Efectivo,Sergio,
55,26/9/25,USD,2.00,12.00,24.00,Efectivo,Sergio,
56,26/9/25,USD,"2,000.00",12.75,"25,500.00",Efectivo,Sergio,
57,29/9/25,USD,"2,000.00",12.80,"25,600.00",Efectivo,Sergio,1400 en qr
58,29/9/25,USD,100.00,12.80,"1,280.00",Efectivo,Sergio,
59,29/9/25,USD,40.00,12.80,512.00,Efectivo,Sergio,
60,30/9/25,CLP ,113.00,13.30,"1,502.90",QR,Sergio,
61,30/9/25,USD,500.00,12.80,"6,400.00",Efectivo,Sergio,
62,30/9/25,USD,100.00,12.70,"1,270.00",Efectivo,Sergio,
,,,"54,611.00",12.90,"681,031.40",,,
